City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
6,Rikitea,PF,78.44,light rain,-23.1203,-134.9692,People ThankYou
12,Presidencia Roque Saenz Pena,AR,70.66,light rain,-26.7852,-60.4388,Hotel Gualok
17,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
19,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Bujaru,BR,77.02,light rain,-1.515,-48.0447,Hotel & Restaurante Beira Rio
27,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Sinnamary,GF,76.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
49,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
52,Isangel,VU,77.11,light rain,-19.55,169.2667,Tanna Lodge
58,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Atuona,PF,78.76,light rain,-9.8,-139.0333,Villa Enata
61,Hobyo,SO,75.99,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
63,Pandan,PH,75.54,overcast clouds,14.0453,124.1694,Bonifacio Lodge
66,Hilo,US,79.61,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Diamantino,BR,78.87,broken clouds,-14.4086,-56.4461,Hotel Delta
69,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
72,Luwuk,ID,76.46,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
73,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
76,Urucara,BR,76.44,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
78,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
82,Bacong,PH,76.33,broken clouds,9.2464,123.2956,Sta Monica Beach Club
83,Omboue,GA,77.74,broken clouds,-1.5746,9.2618,Hotel Olako
90,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Butaritari,KI,82.51,light rain,3.0707,172.7902,Isles Sunset Lodge
103,Praia,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
122,San Luis,AR,83.89,scattered clouds,-33.295,-66.3356,Huarpes Hotel
124,Kampot,KH,80.65,broken clouds,10.6167,104.1833,Two Moons Hotel
128,Kudahuvadhoo,MV,81.34,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
129,Harper,LR,79.99,scattered clouds,4.375,-7.7169,Screensaver
130,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
132,Karratha,AU,84.04,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
134,Cabo San Lucas,MX,74.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Lolodorf,CM,70.65,scattered clouds,3.2333,10.7333,Auberge La Decouverte
138,Samana,DO,80.82,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
139,Matara,LK,73.18,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
141,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
142,Fayaoue,NC,82.76,light rain,-20.65,166.5333,Chez Dydyce Guesthouse
144,Miraflores,MX,73.02,scattered clouds,19.2167,-98.8083,Hotel Mansión
147,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
151,Pauini,BR,76.08,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
155,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
156,Bengkulu,ID,73.02,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
157,Bonthe,SL,77.41,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
159,Meulaboh,ID,75.47,light rain,4.1363,96.1285,Kost Pria
164,Tevaitoa,PF,80.37,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
165,Malappuram,IN,73.56,mist,11.0667,76.0667,Hotel Ernad Inn
167,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
170,Itapipoca,BR,77.18,overcast clouds,-3.4944,-39.5786,Hotel Pilotos
173,Tarakan,ID,76.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
180,Teodoro Sampaio,BR,75.88,moderate rain,-22.5325,-52.1675,MINI HOTEL
181,Ballina,AU,71.56,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
182,Faanui,PF,80.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
184,Talcahuano,CL,71.28,few clouds,-36.7167,-73.1167,departamento comodo
185,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
189,Amuntai,ID,72.77,overcast clouds,-2.4177,115.2494,Hotel Balqis
194,Kavieng,PG,82.65,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
195,Dingle,PH,73.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
196,Springbok,ZA,76.59,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
198,Vaitape,PF,80.62,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
199,Mar Del Plata,AR,71.1,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
212,Ugoofaaru,MV,80.78,clear sky,5.6667,73.0,Ungoofaaru Inn
219,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
220,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
223,Charters Towers,AU,75.15,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
225,Taltal,CL,70.66,few clouds,-25.4,-70.4833,Residencial Karime
226,Sydney,AU,71.35,broken clouds,-33.8679,151.2073,The Grace Sydney
229,Tambura,SS,75.81,overcast clouds,5.6,27.4667,Rikito Lodge
230,Chuy,UY,73.67,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
232,Brejo Santo,BR,88.03,overcast clouds,-7.4933,-38.9872,Hotel Flor de Lis
239,Niquelandia,BR,74.97,overcast clouds,-14.4739,-48.4597,Hotel Suinã
240,Takoradi,GH,80.38,broken clouds,4.8845,-1.7554,Raybow International Hotel
241,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
242,The Valley,AI,72.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
244,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
247,Sao Filipe,CV,73.53,clear sky,14.8961,-24.4956,Hotel Xaguate
248,Guanica,PR,79.32,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
250,Richards Bay,ZA,72.36,heavy intensity rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
251,Atlantic Beach,US,84.06,broken clouds,30.3344,-81.3987,One Ocean Resort and Spa
252,Upington,ZA,75.58,clear sky,-28.4478,21.2561,River Place Manor
253,Rock Sound,BS,74.53,scattered clouds,24.9,-76.2,Pink Corral Bay Property
266,Inirida,CO,84.15,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
267,Concepcion Del Uruguay,AR,80.82,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
271,Ende,ID,77.72,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
272,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
276,Namatanai,PG,82.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
277,Cozumel,MX,84.11,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
281,Voh,NC,84.56,light rain,-20.9667,164.7,Le gîte du Koniambo
283,Kulhudhuffushi,MV,81.01,scattered clouds,6.6221,73.07,Haajy Guest House 1
285,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
288,Qui Nhon,VN,73.09,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
292,Nagapattinam,IN,74.46,few clouds,10.7667,79.8333,Sathya Lodge
294,Sola,VU,79.47,moderate rain,-13.8833,167.55,Leumerus Bungalows
296,San Pedro De Macoris,DO,80.73,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
303,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
310,Sambava,MG,77.45,overcast clouds,-14.2667,50.1667,Melrose
313,Hambantota,LK,73.74,clear sky,6.1241,81.1185,Bungalow 63
316,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
317,Inhambane,MZ,79.21,broken clouds,-23.865,35.3833,Oceano
319,Salinopolis,BR,78.78,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
320,Pringsewu,ID,73.08,overcast clouds,-5.3582,104.9744,Urban Style by Front One
323,Laje,BR,80.24,broken clouds,-10.1833,-40.9667,NN Pousada
324,Sao Domingos Do Prata,BR,78.3,light rain,-19.865,-42.9683,Hotel Santa Isabel
327,Barreirinha,BR,75.2,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
328,Bintulu,MY,73.81,few clouds,3.1667,113.0333,900 Boutique INN
329,San Ignacio,BZ,86.14,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
331,Tabou,CI,79.92,clear sky,4.423,-7.3528,hotêl doufoulougou
332,Cam Ranh,VN,73.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
334,Bubaque,GW,78.17,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
336,Princeton,US,80.02,few clouds,25.5384,-80.4089,American Best Inn
341,Nattam,IN,75.65,broken clouds,10.2333,78.2333,JPM Lodge
342,Atambua,ID,73.42,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
344,Norcasia,CO,80.02,overcast clouds,5.5778,-74.8852,Hotel Amani
346,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
349,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
352,Cidreira,BR,72.09,overcast clouds,-30.1811,-50.2056,Hotel Castelo
358,Fontem,CM,71.22,scattered clouds,5.4685,9.8818,Vista Palace Hotel
365,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
368,Lima,PE,73.65,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
372,Mayumba,GA,76.71,broken clouds,-3.432,10.6554,LIKWALE LODGE
376,Paso De Carrasco,UY,75.65,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
377,Vanimo,PG,79.0,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
387,Uriangato,MX,78.89,few clouds,20.15,-101.1833,Hotel Primavera Moroleón
388,Puerto Escondido,MX,82.99,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
389,Balabac,PH,79.79,moderate rain,7.9868,117.0645,Sing and Swing Lodge
390,Banes,CU,76.93,few clouds,20.9625,-75.7186,Hostal Iván y yailet
391,Wajir,KE,83.91,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
394,Clarence Town,AU,71.85,broken clouds,-32.5833,151.7833,River Downs Cottage
401,Kavaratti,IN,78.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
403,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
408,Ngunguru,NZ,75.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
413,Barranca,PE,72.68,few clouds,-10.75,-77.7667,El Olivar Hospedaje
420,Hualmay,PE,73.74,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
422,Tiebissou,CI,82.49,clear sky,7.1574,-5.2257,Hotel Ngoa
423,Kismayo,SO,77.52,broken clouds,-0.3582,42.5454,Agan-Hotel
424,Kang,BW,73.96,broken clouds,-23.6752,22.7876,Kang Ultra Stop
428,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
429,Chicama,PE,70.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
431,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
436,Codo,BR,79.56,moderate rain,-4.4553,-43.8856,Hotel Porto do Sol
443,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
447,Itarema,BR,80.08,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
449,Amahai,ID,78.26,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
452,Ahuimanu,US,80.85,clear sky,21.4447,-157.8378,Paradise Bay Resort
453,Ambulu,ID,74.7,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
462,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
464,Bom Jesus,BR,79.79,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
466,Yacuiba,BO,83.17,broken clouds,-22.038,-63.6797,Hotel Monumental
468,Santa Maria,BR,83.5,scattered clouds,-29.6842,-53.8069,Hotel Morotin
477,Palmira,CO,83.68,scattered clouds,3.5394,-76.3036,Hotel Las Victorias
480,Samarai,PG,82.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
482,Kilindoni,TZ,79.47,moderate rain,-7.9139,39.6668,Bustani B&B
484,Gizo,SB,83.03,moderate rain,-8.103,156.8419,Imagination Island
490,Iracoubo,GF,76.15,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
491,Ahipara,NZ,76.19,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
497,Auki,SB,81.41,overcast clouds,-8.7676,160.7034,Auki Motel
498,Borba,BR,76.06,light rain,-4.3878,-59.5939,Hotel da Amazônia
500,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
503,Kapoeta,SS,83.25,overcast clouds,4.7717,33.5903,Eastgate Hotel
506,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
507,Mocuba,MZ,71.1,overcast clouds,-16.8392,36.9856,Phama Lodge
509,Warri,NG,80.4,clear sky,5.5167,5.75,BON Hotel Delta
517,Mana,GF,76.08,overcast clouds,5.6592,-53.7767,LE SAMANA
519,Vung Tau,VN,76.06,overcast clouds,10.346,107.0843,Green hotel
522,Norsup,VU,80.31,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
526,La Orilla,MX,79.81,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
528,Labuhan,ID,78.22,overcast clouds,-6.8844,112.2051,DoubleFAG
533,Gladstone,AU,76.93,scattered clouds,-23.85,151.25,Highpoint International Hotel
537,Kankon,IN,71.4,broken clouds,15.0167,74.0167,Palolem Beach Resort
538,Sokoni,TZ,82.26,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
542,Bandarbeyla,SO,73.81,clear sky,9.4942,50.8122,JABIR HOTEL
543,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
544,Soure,BR,77.22,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
546,Pangai,TO,77.11,heavy intensity rain,-19.8,-174.35,Ha'apai Beach Resort
549,Kieta,PG,83.59,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
556,Huarmey,PE,74.77,few clouds,-10.0681,-78.1522,Hotel Miramar
557,Lompoc,US,71.22,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
560,Kalianget,ID,77.76,broken clouds,-7.05,113.9333,Pesanggrahan Garam
561,Angoche,MZ,77.83,overcast clouds,-16.2325,39.9086,Guest House HESADA
565,Carutapera,BR,76.26,light rain,-1.195,-46.02,Lidera
568,Sao Raimundo Nonato,BR,80.37,broken clouds,-9.0153,-42.6994,Real Hotel
572,Williamsburg,US,73.35,broken clouds,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
573,Makokou,GA,71.17,overcast clouds,0.5738,12.8642,Hôtel
574,Aracati,BR,80.94,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
575,Jacareacanga,BR,75.36,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
579,Chilca,PE,77.85,scattered clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
580,Sao Gabriel Da Cachoeira,BR,87.6,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
584,Bucerias,MX,76.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
585,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
587,Saint-Joseph,RE,79.16,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
588,Vallenar,CL,79.48,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
590,Makakilo City,US,79.68,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
591,La Plata,AR,82.04,overcast clouds,-34.9215,-57.9545,Hotel Corregidor
592,Basco,PH,72.25,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
598,Saint-Pierre,RE,80.24,light rain,-21.3393,55.4781,Lindsey Hôtel
601,Chabahar,IR,70.25,clear sky,25.2919,60.643,هتل گدروشیا
606,Acari,PE,78.21,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
607,Manjeri,IN,74.08,mist,11.1167,76.1167,ITTC
608,Rocha,UY,71.71,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
609,Kimbe,PG,81.09,light rain,-5.5502,150.1429,Kimbe Bay Hotel
613,Buchanan,LR,78.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
624,Yenagoa,NG,79.7,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
629,Tiarei,PF,86.02,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
630,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
631,Lorengau,PG,82.09,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
640,Sao Miguel Do Araguaia,BR,78.03,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
645,Morant Bay,JM,80.65,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
648,Sorong,ID,81.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
651,Sabang,ID,81.77,overcast clouds,5.8933,95.3214,Hotel Citra
661,Praya,CV,70.48,clear sky,14.9215,-23.5087,LT Aparthotel
665,Manokwari,ID,77.94,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
666,Gondanglegi,ID,74.52,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
674,Ipixuna,BR,76.95,moderate rain,-1.7625,-48.8043,Casa da Oscarina
675,Oussouye,SN,78.98,clear sky,12.485,-16.5469,Auberge du Routard
680,Gorontalo,ID,73.44,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
682,Jaru,BR,78.44,moderate rain,-10.4389,-62.4664,Hotel Paraná
683,Poum,NC,81.41,overcast clouds,-20.2333,164.0167,Gîte kajeon
684,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
